,Date,Location,Flight,Fatalities,Year,Month,Day,Casualties,Aboard,% Casualty,Decade
7862,1964-07-31,Near Nashville- TenneseePrivate,Beechcraft 35-B33 DebonairN8972M,2/2(0),1964,7,31,2,2,100.0,1960
7863,1964-08-02,Willow- AlaskaCommercial Air Taxi,Piper PA-18N6015Z,3/3(0),1964,8,2,3,3,100.0,1960
7864,1964-08-05,East Falmouth- MassachusettsWiggins Airways,Piper PA-23N5485Y,2/2(0),1964,8,5,2,2,100.0,1960
7865,1964-08-22,Near Tipuani- BoliviaServicios Aéreos Cochabamba,Douglas C-47A-25-DKCP-680,4/4(0),1964,8,22,4,4,100.0,1960
7866,1964-09-02,Island of Sakhalin- RussiaAeroflot,Ilyushin IL-18BCCCP-75531,87/87(0),1964,9,2,87,87,100.0,1960
7867,1964-09-04,Pico da Caledonia- BrazilVASP,Vickers Viscount 710CPP-SRR,39/39(0),1964,9,4,39,39,100.0,1960
7868,1964-09-04,Near Vaong Nong- ThailandMilitary - Royal Thai Air Force,Douglas C-47?,28/34(0),1964,9,4,28,34,82.35294117647058,1960
7869,1964-09-15,Near Condoto- ColombiaAVIANCA,Douglas C-47AHK-319,2/2(0),1964,9,15,2,2,100.0,1960
7870,1964-10-02,Addis Ababa- EthiopiaInterocean,Lockheed L-749A-79 ConstellationLX-IOK,1/7(0),1964,10,2,1,7,14.285714285714285,1960
7871,1964-10-02,Near Trevelez- Granada- SpainUnion des Transportes Aeriens,Douglas DC-6BF-BHMS,80/80(0),1964,10,2,80,80,100.0,1960
7872,1964-10-09,Near Sibiu- RomaniaTarom,Ilyushin IL-14YR-ILB,32/32(0),1964,10,9,32,32,100.0,1960
7873,1964-10-16,Crown King- ArizonaCommercial Air Taxi,Hughes 269BN9340F,2/2(0),1964,10,16,2,2,100.0,1960
7874,1964-10-19,Near Belgrade- YugoslaviaMilitary - Soviet Air Force,Ilyushin IL-18?,33/33(0),1964,10,19,33,33,100.0,1960
7875,1964-11-03,Branson- ColoradoMustang Aviati,Beechcraft C45GN2849G,5/5(0),1964,11,3,5,5,100.0,1960
7876,1964-11-15,Las Vegas- NevadaBonanza Airlines,Fairchild F-27AN745L,29/29(0),1964,11,15,29,29,100.0,1960
7877,1964-11-17,Off Argentia- Newfoundland- CanadaMilitary - U.S. Navy,Lockheed P-3A151362,10/10(0),1964,11,17,10,10,100.0,1960
7878,1964-11-20,Angelholm- SwedenLinjeflyg,Convair CV-440SE-CCK,31/43(0),1964,11,20,31,43,72.09302325581395,1960
7879,1964-11-23,Rome- ItalyTrans World Airlines,Boeing B-707-331N769TW,50/73(0),1964,11,23,50,73,68.4931506849315,1960
7880,1964-11-29,Leopoldville- Democratic Republic of the CongoAir Congo (BIAS)?,Douglas DC-4OO-DEP,6/14(0),1964,11,29,6,14,42.857142857142854,1960
7881,1964-12-04,Fayetteville- ArkansasCommercial Air Taxi,Cessna 206N5089U,4/5(0),1964,12,4,4,5,80.0,1960
7882,1964-12-08,Tripuani- BoliviaAerolineas Abaroa,Douglas DC-3CP-639,17/17(0),1964,12,8,17,17,100.0,1960
7883,1964-12-11,Near Da Nang- South VietnamMilitary - Vietnamese Air Force,Fairchild C-123?,38/38(0),1964,12,11,38,38,100.0,1960
7884,1964-12-21,Near Kaliba- PhilippinesFleming Airways System Transport,Douglas DC-3PI-C569,1/39(0),1964,12,21,1,39,2.564102564102564,1960
7885,1964-12-24,Near San Francisco- CaliforniaFlying Tiger Line,Lockheed L-1049H Super ConstellationN6915C,3/3(0),1964,12,24,3,3,100.0,1960
7886,1964-12-24,Yurimaguas- PeruSATCO,Douglas DC-3OB-XAU,1/23(0),1964,12,24,1,23,4.3478260869565215,1960
7887,1964-12-29,Near Turrialba- Costa RicaLineas Aéreas Sud Americana,Curtiss C-46CC-CAN,5/5(0),1964,12,29,5,5,100.0,1960
7888,1964-12-30,Detroit- MichiganZantop Air Transport,Curtis C-46AN608Z,4/4(0),1964,12,30,4,4,100.0,1960
7889,1908-09-17,Fort Myer- VirginiaMilitary - U.S. Army,Wright Flyer III?,1/2(0),1908,9,17,1,2,50.0,1920
7890,1909-09-07,Juvisy-sur-Orge- France?,Wright ByplaneSC1,1/1(0),1909,9,7,1,1,100.0,1920
7891,1912-07-12,Atlantic City- New JerseyMilitary - U.S. Navy,Dirigible?,5/5(0),1912,7,12,5,5,100.0,1920
7892,1913-08-06,Victoria- British Columbia- CanadaPrivate,Curtiss seaplane?,1/1(0),1913,8,6,1,1,100.0,1920
7893,1913-09-09,Over the North SeaMilitary - German Navy,Zeppelin L-1 (airship)?,14/20(0),1913,9,9,14,20,70.0,1920
7894,1913-10-17,Near Johannisthal- GermanyMilitary - German Navy,Zeppelin L-2 (airship)?,30/30(0),1913,10,17,30,30,100.0,1920
7895,1915-03-05,Tienen- BelgiumMilitary - German Navy,Zeppelin L-8 (airship)?,21/41(0),1915,3,5,21,41,51.21951219512195,1920
7896,1915-09-03,Off Cuxhaven- GermanyMilitary - German Navy,Zeppelin L-10 (airship)?,19/19(0),1915,9,3,19,19,100.0,1920
7897,1916-07-28,Near Jambol- BulgeriaMilitary - German Army,Schutte-Lanz S-L-10 (airship)?,20/20(0),1916,7,28,20,20,100.0,1920
7898,1916-09-24,Billericay- EnglandMilitary - German Navy,Zeppelin L-32 (airship)?,22/22(0),1916,9,24,22,22,100.0,1920
7899,1916-10-01,Potters Bar- EnglandMilitary - German Navy,Zeppelin L-31 (airship)?,19/19(0),1916,10,1,19,19,100.0,1920
7900,1916-11-21,Mainz- GermanyMilitary - German Army,Super Zeppelin (airship)?,27/28(0),1916,11,21,27,28,96.42857142857143,1920
7901,1916-11-28,Off West Hartlepool- EnglandMilitary - German Navy,Zeppelin L-34 (airship)?,20/20(0),1916,11,28,20,20,100.0,1920
7902,1917-03-04,Near Gent- BelgiumMilitary - German Army,Airship?,20/20(0),1917,3,4,20,20,100.0,1920
7903,1917-03-30,Off Northern GermanyMilitary - German Navy,Schutte-Lanz S-L-9 (airship)?,23/23(0),1917,3,30,23,23,100.0,1920
7904,1917-05-14,Near Texel Island- North SeaMilitary - German Navy,Zeppelin L-22 (airship)?,21/21(0),1917,5,14,21,21,100.0,1920
7905,1917-06-14,Off Vlieland Island- North SeaMilitary - German Navy,Zeppelin L-43 (airship)?,24/24(0),1917,6,14,24,24,100.0,1920
7906,1917-06-17,Near Yarmouth- England?,Zepplin LZ-95 (air ship)L-48,14/16(0),1917,6,17,14,16,87.5,1920
7907,1917-08-21,Off western DenmarkMilitary - German Navy,Zeppelin L-23 (airship)?,18/18(0),1917,8,21,18,18,100.0,1920
7908,1917-10-20,Near Luneville- FranceMilitary - German Navy,Zeppelin L-44 (airship)?,18/18(0),1917,10,20,18,18,100.0,1920
7909,1918-04-07,Over the MediterraneanMilitary - German Navy,Zeppelin L-59 (airship)?,23/23(0),1918,4,7,23,23,100.0,1920
7910,1918-05-10,Off Helgoland Island- GermanyMilitary - German Navy,Zeppelin L-70 (airship)?,22/22(0),1918,5,10,22,22,100.0,1920
7911,1918-08-11,Ameland Island- North SeaMilitary - German Navy,Zeppelin L-53 (airship)?,19/19(0),1918,8,11,19,19,100.0,1920
7912,1918-12-16,Elizabeth- New JerseyUS Aerial Mail Service,De Havilland DH-497,1/1(0),1918,12,16,1,1,100.0,1920
7913,1919-05-25,Cleveland- OhioUS Aerial Mail Service,De Havilland DH-461,1/1(0),1919,5,25,1,1,100.0,1920
7914,1919-07-19,Dix Run- PennsylvaniaUS Aerial Mail Service,De Havilland DH-482,1/1(0),1919,7,19,1,1,100.0,1920
7915,1919-08-02,Verona- ItalyCaproni Company,Caproni Ca.48?,14/14(0),1919,8,2,14,14,100.0,1920
7916,1919-10-02,Newcastle- EnglandAircraft Transport and Travel,De Havilland DH-4?,1/1(0),1919,10,2,1,1,100.0,1920
7917,1919-10-14,Cantonsville- MarylandUS Aerial Mail Service,Curtiss R-4LM32,1/1(0),1919,10,14,1,1,100.0,1920
7918,1919-10-20,English Channel off Forkstone- KentAircraft Transport and Travel,De Havilland DH-4G-EAHG,0/0(0),1919,10,20,0,0,,1920
7919,1919-10-30,Long Valley- New JerseyUS Aerial Mail Service,De Havilland DH.477,1/1(0),1919,10,30,1,1,100.0,1920
7920,1919-12-11,Catherham- Surrey- UKAircraft Travel Transport,de Havilland DH-4G-EAHF,1/1(0),1919,12,11,1,1,100.0,1920
7921,1920-03-10,New Paris- IndianaUS Aerial Mail Service,De Havilland DH-465,1/1(0),1920,3,10,1,1,100.0,1920
7922,1920-03-30,Newark- New JerseyUS Aerial Mail Service,De Havilland DH-472,1/1(0),1920,3,30,1,1,100.0,1920
7923,1920-04-10,Newark- New JerseyUS Aerial Mail Service,Curtiss R-4LM49,1/2(0),1920,4,10,1,2,50.0,1920
7924,1920-04-11,Heller Field- New JerseyUS Aerial Mail Service,Curtiss JN-4H44,1/2(0),1920,4,11,1,2,50.0,1920
7925,1920-05-12,Oskaloosa- IowaUS Aerial Mail Service,De Havilland DH-479,1/2(0),1920,5,12,1,2,50.0,1920
7926,1920-06-06,Cleveland- OhioUS Aerial Mail Service,De Havilland DH-4204,1/1(0),1920,6,6,1,1,100.0,1920
7927,1920-06-20,Cartagena- ColumbiaCompañia Colombiana de Navegación Aérea,Farman F-40?,1/1(0),1920,6,20,1,1,100.0,1920
7928,1920-08-16,Bedford- EnglandBy Air,Armstrong-Whitworth F-K-8G-EALW,1/1(0),1920,8,16,1,1,100.0,1920
7929,1920-08-16,College Park- MarylandUS Aerial Mail Service,De Havilland DH-4317,1/1(0),1920,8,16,1,1,100.0,1920
7930,1920-09-01,Morristown- New JerseyUS Aerial Mail Service,Junkers JL-6305,2/2(0),1920,9,1,2,2,100.0,1920
7931,1920-09-15,Pemberville- OhioUS Aerial Mail Service,Junkers F-13308,2/2(0),1920,9,15,2,2,100.0,1920
7932,1920-09-27,Hillersburg- PennsylvaniaUS Aerial Mail Service,De Havilland DH-4316,1/1(0),1920,9,27,1,1,100.0,1920
7933,1920-10-02,Off Port Vendres- FranceLatecoere Airlines,Salmson 2-A-2F-ALAI,2/2(0),1920,10,2,2,2,100.0,1920
7934,1920-10-05,Valencia- SpainLatecoere Airlines,Breguet 14F-ALTA,2/2(0),1920,10,5,2,2,100.0,1920
7935,1920-10-15,Batavia- IllinoisUS Aerial Mail Service,De Havilland DH-476,1/1(0),1920,10,15,1,1,100.0,1920
7936,1920-11-07,Tie Siding- WyomingUS Aerial Mail Service,De Havilland DH-4?,1/1(0),1920,11,7,1,1,100.0,1920
7937,1920-12-14,London- EnglandHandley Page Transport,Handley Page HP-16G-EAMA,4/8(0),1920,12,14,4,8,50.0,1920
7938,1920-12-24,Barcelona- SpainAeropostale,Breguet 14F-ALBO,1/1(0),1920,12,24,1,1,100.0,1920
7939,1921-02-03,Mendotta- MinnisotaUS Aerial Mail Service,De Havilland DH-4130,1/1(0),1921,2,3,1,1,100.0,1920
7940,1921-02-09,La Crosse- WisconsinUS Aerial Mail Service,Junkers F-13301,3/3(0),1921,2,9,3,3,100.0,1920
7941,1921-02-15,Off GibraltarAeropostale,Breguet 14F-ALBA,2/2(0),1921,2,15,2,2,100.0,1920
7942,1921-02-22,Elko- NevadaUS Aerial Mail Service,De Havilland DH-467,1/1(0),1921,2,22,1,1,100.0,1920
7943,1921-04-06,Point Cook- AustraliaMilitary - Royal Australian Air Force,  	Avro 504H3021,2/2(0),1921,4,6,2,2,100.0,1920
7944,1921-04-21,Mitchel Field- NYUS Aerial Mail Service,De Havilland DH-4160,1/1(0),1921,4,21,1,1,100.0,1920
7945,1921-04-29,Cleveland- OhioUS Aerial Mail Service,De Havilland DH-4196,1/1(0),1921,4,29,1,1,100.0,1920
7946,1921-05-17,Rock Springs- WyomingUS Aerial Mail Service,De Havilland DH-4De Havilland DH-4176,1/1(0),1921,5,17,1,1,100.0,1920
7947,1921-08-14,Toulouse- FranceAeropostale,Breguet 14F-ALBI,2/2(0),1921,8,14,2,2,100.0,1920
7948,1921-08-24,River Humber- EnglandMilitary - Royal Airship Works,Royal Airship Works ZR-2 (airship)R-38,46/46(1),1921,8,24,46,46,100.0,1920
7949,1921-09-06,Paris- FranceFranco-Roumaine,Potez IXF-ADCD,5/5(0),1921,9,6,5,5,100.0,1920
7950,1921-12-05,Near Murchinson River- AustraliaWest Australian Airways,Bristol 28 TourerG-AUDI,2/2(0),1921,12,5,2,2,100.0,1920
7951,1922-01-14,Paris- FranceHandley Page Transport,Handley Page O/10G-EATN,5/5(5),1922,1,14,5,5,100.0,1920
7952,1922-02-21,Near Norfolk- VirginiaMilitary - U.S. Army Air Service,Dirigible Roma (airship)?,34/45(0),1922,2,21,34,45,75.55555555555556,1920
7953,1922-03-22,North Atlantic OceanAero Limited,Aeromarine Model 85 (flying boat)?,5/6(0),1922,3,22,5,6,83.33333333333334,1920
7954,1922-04-07,Grandvilliers- FranceDaimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 GoliathG-EAOW/FGEAD,7/7(0),1922,4,7,7,7,100.0,1920
7955,1922-04-08,Pao Ting Fou- China?,??,17/17(0),1922,4,8,17,17,100.0,1920
7956,1922-06-03,Off Folkestone- Kent- EnglandCie des Messageries Aeriennes,Bleriot Spad 27F-ACMH,3/3(0),1922,6,3,3,3,100.0,1920
7957,1922-07-04,Fuhlsbuttel- Germany?,LVG C VI?,2/3(0),1922,7,4,2,3,66.66666666666666,1920
7958,1922-07-16,Near Saverne- Lorraine- FranceCompagnie Franco-Roumaine de Navigaation Aerienne,Potez 29F-FREI,5/5(0),1922,7,16,5,5,100.0,1920
7959,1922-07-26,Cadix- SpainGrands Express Aeriens,Breguet 14F-ALVE,3/3(0),1922,7,26,3,3,100.0,1920
7960,1922-09-07,Indianapolis- IndianaUS Aerial Mail Service,De Havilland DH-4227,1/1(0),1922,9,7,1,1,100.0,1920
7961,1922-10-02,Venice- Italy?,de Havilland DH-9G-EAYT,4/4(0),1922,10,2,4,4,100.0,1920
7962,1922-10-25,Larache- MoroccoGrands Express Aeriens,Breguet 14?,2/2(0),1922,10,25,2,2,100.0,1920
7963,1922-12-03,Fez- MoroccoGrands Express Aeriens,Breguet 14F-ALNA,1/1(0),1922,12,3,1,1,100.0,1920
7964,1923-01-10,Ajaccio- FranceAmee de l'Air,Lioré-et-Olivier H-13F-AEIB,3/4(0),1923,1,10,3,4,75.0,1920
7965,1923-01-17,Barcelona- SpainGrands Express Aeriens,Breguet 14F-ALJU,1/1(0),1923,1,17,1,1,100.0,1920
7966,1923-01-18,Cheyenne- WyomingUS Aerial Mail Service,De Havilland DH-4223,1/1(0),1923,1,18,1,1,100.0,1920
7967,1923-02-26,Meadville- PennsylvaniaUS Aerial Mail Service,De Havilland DH-4291,1/1(0),1923,2,26,1,1,100.0,1920
7968,1923-05-14,Near Amiens- Picrdie- FranceGrands Express Aeriens (Air Union),Farman F-60 GoliathF-AEBY,6/6(0),1923,5,14,6,6,100.0,1920
7969,1923-08-27,Bucharest- RomaniaCampagnie France Roumaine,Blériot Spad 46F-AEGN,2/2(0),1923,8,27,2,2,100.0,1920
7970,1923-09-07,Colton- OhioUS Aerial Mail Service,De Havilland DH-4283,1/1(0),1923,9,7,1,1,100.0,1920
7971,1923-09-14,Near Ivinghoe- Buckinghamshire- EnglandDaimler Airways,de Havilland DH-34G-EBBS,5/5(0),1923,9,14,5,5,100.0,1920
7972,1923-11-18,RussiaCCCP,Junkers F-13D-257,3/5(0),1923,11,18,3,5,60.0,1920
7973,1923-12-06,Castalia- OhioUS Aerial Mail Service,De Havilland DH-4318,1/1(0),1923,12,6,1,1,100.0,1920
7974,1923-12-23,Over the Mediterranean SeaMilitary - French Navy,Zeppelin Dixmunde (airship)L-72,52/52(0),1923,12,23,52,52,100.0,1920
7975,1923-12-24,Egbert- WYUS Aerial Mail Service,De Havilland DH-4315,1/1(0),1923,12,24,1,1,100.0,1920
7976,1924-03-07,Grampian- PennsylvaniaUS Aerial Mail Service,De Havilland DH-4327,1/1(0),1924,3,7,1,1,100.0,1920
7977,1924-04-24,Over the English ChannelKLM Royal Dutch Airlines,Fokker F.IIIH-NABS,3/3(0),1924,4,24,3,3,100.0,1920
7978,1924-06-08,Barranquilla- ColombiaSCADTA,Junkers F-13A16,5/5(0),1924,6,8,5,5,100.0,1920
7979,1924-08-01,United StatesUS Aerial Mail Service,De Havilland DH-4297,1/1(0),1924,8,1,1,1,100.0,1920
7980,1924-11-06,Cabrerolles- FranceGrands Express Aeriens,?F-AFBD,1/1(0),1924,11,6,1,1,100.0,1920
7981,1924-12-21,Goshen- IndianaUS Aerial Mail Service,De Havilland DH-4311,1/1(0),1924,12,21,1,1,100.0,1920
7982,1924-12-24,Purley- EnglandImperial Airways,de Havilland DH-34BG-EBBX,8/8(0),1924,12,24,8,8,100.0,1920
7983,1925-03-22,Near Tiflis- Georgia- USSRZakavia,Junkers F-13R-RECA,5/5(0),1925,3,22,5,5,100.0,1920
7984,1925-04-25,Alicante- SpainGrands Express Aeriens,Breguet 14F-AFBB,3/3(0),1925,4,25,3,3,100.0,1920
7985,1925-06-25,Landrécies- FranceKLM Royal Dutch Airlines,Fokker (KLM)  F.IIIH-NABM,4/4(0),1925,6,25,4,4,100.0,1920
7986,1925-06-26,Alicante- SpainGrands Express Aeriens,Lioré-et-Olivier LeO H-13F-FREM,2/2(0),1925,6,26,2,2,100.0,1920
7987,1925-07-20,Rosas- SpainLignes Aeriennes Latecoere,Breguet 14F-AFBI,1/1(0),1925,7,20,1,1,100.0,1920
7988,1925-07-24,Budapest- HungaryCIDNA,Potez IX?,1/1(0),1925,7,24,1,1,100.0,1920
7989,1925-09-03,Caldwell- OhioMilitary - U.S. Navy,Dirigible ZR-1 Shenandoah (airship)ZR-1,14/43(0),1925,9,3,14,43,32.55813953488372,1920
7990,1925-09-07,Toul- FranceCIDNA,Spad 33?,?/?(?),1925,9,7,?,NaN,,1920
7991,1925-10-01,Nittany Mt- OhioUS Aerial Mail Service,De Havilland DH-4385,1/1(0),1925,10,1,1,1,100.0,1920
7992,1925-11-14,Nouadhibou- MauritaniaLignes Aeriennes Latecoere,Breguet 14F-AEGZ,1/1(0),1925,11,14,1,1,100.0,1920
7993,1925-11-14,Off Boulogne-sur-Mer- FranceAir Union,Farman F-60 GoliathF-AMFY,2/2(0),1925,11,14,2,2,100.0,1920
7994,1926-02-12,Montpelier- OhioUS Aerial Mail Service,Curtiss Carrier Pigeon602,1/1(0),1926,2,12,1,1,100.0,1920
7995,1926-03-08,Staaken- GermanyDeutche Lufthansa,Junkers F-13D-290D-290,1/1(0),1926,3,8,1,1,100.0,1920
7996,1926-05-31,English ChannelAir Union,Breguet 14F-ADAI,1/1(0),1926,5,31,1,1,100.0,1920
7997,1926-07-03,Rossaugpt- CzechoslovakiaCompagnie Internationale de Navigation Aérienne,Caudron C-61F-AFBT,6/6(0),1926,7,3,6,6,100.0,1920
7998,1926-07-09,Wolvertem- BelgiumKLM Royal Dutch Airlines,Fokker F7H-NACC,2/2(0),1926,7,9,2,2,100.0,1920
7999,1926-07-24,Juist- GermanyDeutsche Lufthansa,Junkers F-13D-272,5/5(0),1926,7,24,5,5,100.0,1920
8000,1926-08-18,Hurst- Kent- EnglandAir Union,Bleriot 155F-AIEB,4/4(0),1926,8,18,4,4,100.0,1920
8001,1926-09-26,New York- New York?,Sikorsky S-25?,2/5(0),1926,9,26,2,5,40.0,1920
8002,1926-10-02,Leigh- Kent- Unied KingdomAir Union,Bleriot 155F- AICQ,7/7(0),1926,10,2,7,7,100.0,1920
8003,1926-10-08,Bueren- GermanyDeutsche Lufthansa,Fokker FG IIID-468,4/4(0),1926,10,8,4,4,100.0,1920
8004,1926-10-21,English ChannelImperial Airways,Handley Page W-10G-EBMS,0/12(0),1926,10,21,0,12,0.0,1920
8005,1926-11-11,Cape Bojador- MoroccoGrands Express Aeriens,Breguet 14F-AFAX,3/3(0),1926,11,11,3,3,100.0,1920
8006,1926-12-16,Medford- OregonPacific Air Transport,Ryan M-12,1/1(0),1926,12,16,1,1,100.0,1920
8007,1927-01-12,Estaires- FranceFokker,Fokker F-VIIG-EBPL,0/0(0),1927,1,12,0,0,,1920
8008,1927-03-20,Rabat- MoroccoGrands Express Aeriens,Breguet 14F-ALRA,1/1(0),1927,3,20,1,1,100.0,1920
8009,1927-03-24,Tambo- Qld- AustraliaQantas,de Havilland DH-9CG-AUED,3/3(0),1927,3,24,3,3,100.0,1920
8010,1927-04-15,King Hill- IdahoVarney Air Lines,SwallowSwallow?,1/1(0),1927,4,15,1,1,100.0,1920
8011,1927-04-22,Floh- GermanyDeutsche Lufthansa,Fokker FG IIID-729,2/2(0),1927,4,22,2,2,100.0,1920
8012,1927-04-22,Goshen- IndianaUS Aerial Mail Service,Douglas M-4626,1/1(0),1927,4,22,1,1,100.0,1920
8013,1927-05-02,Algiers- AlgeriaAir Union,SPCA Meteore 63F-AIFN,1/3(0),1927,5,2,1,3,33.33333333333333,1920
8014,1927-07-27,Amoneburg- GermanyDeutsche Lufthansa,Junkers F-13D-206,5/5(0),1927,7,27,5,5,100.0,1920
8015,1927-08-22,Sevenoaks- EnglandKLM Royal Dutch Airlines,Fokker F-VIIIH-NADUH-NADU,1/11(0),1927,8,22,1,11,9.090909090909092,1920
8016,1927-09-03,Willington- ConnecticutColonial Air Transport,Fokker UniversalNC52  	NC52,1/1(0),1927,9,3,1,1,100.0,1920
8017,1927-09-17,Hadley- New JerseyReynolds Airways,Fokker F-VIINC776,7/12(0),1927,9,17,7,12,58.333333333333336,1920
8018,1927-09-17,Atlantic OceanPrivate,Fokker F7NX703,3/3(0),1927,9,17,3,3,100.0,1920
8019,1927-09-23,Schleiz- GermanyDeutsche Lufthansa,Dornier MerkurD-585,6/6(0),1927,9,23,6,6,100.0,1920
8020,1927-10-06,Thies- MauritaniaLignes Aeriennes Latecoere,Breguet 14F-AGBN,2/2(0),1927,10,6,2,2,100.0,1920
8021,1927-10-30,New Brunswick- New JerseyColonial Air Transport,Fairchild FC-2?,4/4(0),1927,10,30,4,4,100.0,1920
8022,1927-11-08,Strasburg- FranceCIDNA,Farman F-121 JabiruF-AIBR,1/1(0),1927,11,8,1,1,100.0,1920
8023,1927-11-16,Over the Gulf of FinlandAero O-Y,Junkers F-13K-SALD,6/6(0),1927,11,16,6,6,100.0,1920
8024,1927-11-29,Corunna- IndianaNational Air Transport,Douglas M-4NC62  	NC1062,1/1(0),1927,11,29,1,1,100.0,1920
8025,1927-12-28,Almeria- SpainAeropostale,Breguet 14F-AFGS,1/1(0),1927,12,28,1,1,100.0,1920
8026,1927-12-31,Near Marseille-FranceLatecoere Airlines,Latécoère 23 (flying boat)F-AIHP,5/5(0),1927,12,31,5,5,100.0,1920
8027,1928-01-08,Near Canajoharie- New YorkColonial Western Airlines,Fairchild FC-2NC3780,3/3(0),1928,1,8,3,3,100.0,1920
8028,1928-01-16,Solis- UruguayAeropostale,Latecoere 25F-AIKG,2/2(0),1928,1,16,2,2,100.0,1920
8029,1928-01-22,L'Hospitalet- AriègeAeropostale,Breguet 14 F-AHEQ,1/1(0),1928,1,22,1,1,100.0,1920
8030,1928-01-22,Tarragona- SpainAeropostale,Breguet 14F-AHEQ,2/2(0),1928,1,22,2,2,100.0,1920
8031,1928-01-27,Almeria- SpainAeropostale,Breguet 14F-AFHN,1/1(0),1928,1,27,1,1,100.0,1920
8032,1928-02-26,Marquette- NebraskaBoeing Air Transport,Boeing 40NC280,1/2(0),1928,2,26,1,2,50.0,1920
8033,1928-03-11,Off Cape Griz Nez- FranceAir Union,Farman F-60 GoliathF-AEFC,2/2(0),1928,3,11,2,2,100.0,1920
8034,1928-04-17,Federal- WyomingBoeing Air Transport,Boeing 40NC282NC282,1/2(0),1928,4,17,1,2,50.0,1920
8035,1928-04-19,Minuesa- SpainIberia Airlines,Rohrbach RolandM-CCCC,9/9(0),1928,4,19,9,9,100.0,1920
8036,1928-05-07,Florianopolis- BrazilFlorianopolis- BrazilFlorianopolis- BrazilAeropostale,Latecoere 26F-AIMQ,1/5(0),1928,5,7,1,5,20.0,1920
8037,1928-05-12,Dearborn- MinnesotaFord Air Freight Inc.,Ford 4NC1492,2/2(0),1928,5,12,2,2,100.0,1920
8038,1928-05-26,Radevormwald- GermanyDeutsche Lufthansa,Junkers F-13D-583,3/5(0),1928,5,26,3,5,60.0,1920
8039,1928-06-14,Frankfurt- GermanyDeutsche Lufthansa,AEGKD-74,5/5(0),1928,6,14,5,5,100.0,1920
8040,1928-06-22,Lebo- KansasNational Air Transport,Douglas M-4NC1059,1/1(0),1928,6,22,1,1,100.0,1920
8041,1928-07-10,Over the Gulf of FinlandAero O-Y,Junkers F-13K-SALB,6/6(0),1928,7,10,6,6,100.0,1920
8042,1928-07-13,Purley- EnglandImperial Airways,Vickers 74 VulcanG-EBLB,4/6(0),1928,7,13,4,6,66.66666666666666,1920
8043,1928-07-24,Waalhaven- NetherlandsKLM Royal Dutch Airlines,Fokker (KLM) F.IIIH-NABR,1/6(0),1928,7,24,1,6,16.666666666666664,1920
8044,1928-08-25,Near Port Townsend- BC- CanadaBritish Columbia Airways,Ford 4-AT-B Tri MotorG-CATX,7/7(0),1928,8,25,7,7,100.0,1920
8045,1928-09-02,Toul- FranceCIDNA,Bleriot Spad 33F-AIEP,5/5(0),1928,9,2,5,5,100.0,1920
8046,1928-09-04,Adelaide Hills- AustraliaQantas,de Havilland DH.50JG-AUHI,1/2(0),1928,9,4,1,2,50.0,1920
8047,1928-09-04,Pocatello- IdahoNational Parks Airways,Fokker Super UniversalNC7242,7/7(0),1928,9,4,7,7,100.0,1920
8048,1928-09-06,Heroldbach- GermanyDeutsche Lufthansa,Fokker FG IIID-180,3/3(0),1928,9,6,3,3,100.0,1920
8049,1928-10-04,Gerona- SpainAeropostale,Breguet 14F-AEEJF-AEEJ,3/3(0),1928,10,4,3,3,100.0,1920
8050,1928-10-18,Polk- PennsylvaniaNational Air Transport,Douglas M-4NC1064,1/1(0),1928,10,18,1,1,100.0,1920
8051,1928-10-31,Valence- FranceAir Union,Bleriot Spad 56F-AIMN,1/2(0),1928,10,31,1,2,50.0,1920
8052,1928-11-15,Off GibraltarAeropostale,Latecoere 32F-AISN,1/3(0),1928,11,15,1,3,33.33333333333333,1920
8053,1928-11-24,Edgerton- OhioUniversal Airlines,Hamilton H-47NC7521,3/3(0),1928,11,24,3,3,100.0,1920
8054,1928-11-25,Edgerton- OhioContinental Air Lines,Travel Air 4000NC5436,1/1(0),1928,11,25,1,1,100.0,1920
8055,1928-11-25,Bristolville- OhioNational Air Transport,Douglas M-4NC792,1/1(0),1928,11,25,1,1,100.0,1920
8056,1928-12-01,Spur- TexasSunbeam Air Transport Co.,Ford 4-AT-B Tri MotorNC7862,5/5(0),1928,12,1,5,5,100.0,1920
8057,1928-12-03,Near Rio de Janeiro-BrazilSyndicato Condor,Dornier WalP-BACA,14/14(0),1928,12,3,14,14,100.0,1920
8058,1928-12-10,Spokan- WashingtonSpokane Airways,?NC7687,5/5(0),1928,12,10,5,5,100.0,1920
8059,1928-12-11,Letzlingen- GermanyDeutsche Lufthansa,Junkers G-31D-1473,3/4(0),1928,12,11,3,4,75.0,1920
8060,1928-12-20,Huron- OhioNational Air Transport,Douglas M-4NC790,1/1(0),1928,12,20,1,1,100.0,1920
8061,1928-12-23,Chattanooga- TennesseeInterstate Airlines,Fairchild FC-2?,4/4(0),1928,12,23,4,4,100.0,1920
8062,1928-12-31,Reims- FranceCIDNA,Blériot Spad 66F-AEHX,2/3(0),1928,12,31,2,3,66.66666666666666,1920
8063,1929-01-05,Stafford Springs- ConnecticutColonial Air Transport,Fairchild FC-2NC5650,1/1(0),1929,1,5,1,1,100.0,1920
